pop,private,obs_het,fis,pi,grp,genome,miss_lvl
Preit,828,0.07709,0.19746,0.14623,grp,axi,8
Psaxi,294,0.07514,0.09683,0.11875,grp,axi,8
Psche,1959,0.06356,0.26984,0.17506,grp,axi,8
Pteri,1934,0.05083,0.30756,0.18018,grp,axi,8
caes,634,0.07892,0.09799,0.11687,phylo,inf,9
duse,470,0.07946,0.12358,0.1363,phylo,inf,9
miss,600,0.07494,0.12722,0.13242,phylo,inf,9
para,635,0.08547,0.15494,0.14409,phylo,inf,9
send,391,0.08831,0.0978,0.13409,phylo,inf,9
caes,1081,0.07008,0.11193,0.11584,phylo,axi,8
duse,773,0.07079,0.13803,0.13629,phylo,axi,8
miss,1034,0.06634,0.14369,0.13351,phylo,axi,8
para,1120,0.0802,0.1724,0.14854,phylo,axi,8
send,673,0.08041,0.12287,0.1386,phylo,axi,8
caes,92,0.13333,0.03972,0.1429,phylo,nico,95
duse,58,0.11393,0.10019,0.15749,phylo,nico,95
miss,100,0.11308,0.10571,0.15802,phylo,nico,95
para,104,0.14439,0.10513,0.17836,phylo,nico,95
send,50,0.12897,0.04837,0.1506,phylo,nico,95
Preit,25,0.15978,0.10378,0.19209,grp,hab,9
Psaxi,7,0.1492,0.07351,0.17963,grp,hab,9
Psche,65,0.16181,0.14694,0.22518,grp,hab,9
Pteri,71,0.13333,0.27103,0.24536,grp,hab,9
north,1220,0.16751,0.33636,0.26822,alt,sec,5
west,710,0.13551,0.21265,0.22166,alt,sec,5
south,1301,0.14592,0.39601,0.25598,alt,sec,5
north,151,0.25995,0.09119,0.27208,alt,axi,95
west,159,0.21519,0.08412,0.24125,alt,axi,95
south,170,0.23335,0.15278,0.26191,alt,axi,95
north,532,0.20705,0.23406,0.26959,alt,aaxi,8
west,443,0.168,0.17711,0.23451,alt,aaxi,8
south,618,0.18327,0.29866,0.25868,alt,aaxi,8
caes,2091,0.04909,0.12763,0.10784,phylo,inf,5
duse,1678,0.05056,0.15931,0.13203,phylo,inf,5
miss,1938,0.04545,0.148,0.12069,phylo,inf,5
para,2416,0.05681,0.19684,0.14345,phylo,inf,5
send,1580,0.05883,0.14644,0.1339,phylo,inf,5
