ID Mapped_Count
2062150.sort.bam 1146424
2062151.sort.bam 1215214
2062152.sort.bam 945075
2062153.sort.bam 1004407
2062154.sort.bam 1090592
2062155.sort.bam 951523
2062156.sort.bam 957269
2062157.sort.bam 922497
2062158.sort.bam 1328055
2062159.sort.bam 1226863
2062161.sort.bam 1118595
2062162.sort.bam 1172133
2062164.sort.bam 876449
2062165.sort.bam 923867
2062166.sort.bam 1126476
2062167.sort.bam 1263959
2062168.sort.bam 1250576
2062169.sort.bam 1020260
2062170.sort.bam 941073
2062171.sort.bam 1046817
2062172.sort.bam 973611
2062173.sort.bam 932533
2062174.sort.bam 1337583
2062175.sort.bam 1387194
2062176.sort.bam 1195957
2062177.sort.bam 1182065
2062178.sort.bam 943969
2062179.sort.bam 921341
2062180.sort.bam 912450
2062181.sort.bam 890310
2062182.sort.bam 1247029
2062183.sort.bam 1190801
2062184.sort.bam 879752
2062185.sort.bam 993586
2062186.sort.bam 808953
2062187.sort.bam 536151
2062188.sort.bam 916038
2062189.sort.bam 800948
2062190.sort.bam 960846
2062191.sort.bam 1114968
2062192.sort.bam 1102578
2062193.sort.bam 959573
2062194.sort.bam 746443
2062195.sort.bam 679599
2062196.sort.bam 969388
2062197.sort.bam 494268
2062198.sort.bam 1010029
2062199.sort.bam 1239188
2062200.sort.bam 1359296
2062201.sort.bam 775682
2062202.sort.bam 1031951
2062203.sort.bam 649271
2062204.sort.bam 517377
2062205.sort.bam 845862
2062206.sort.bam 1217469
2062207.sort.bam 1143758
2062208.sort.bam 1115507
2062209.sort.bam 1091319
2062210.sort.bam 704681
2062211.sort.bam 1140630
2062212.sort.bam 991497
2062213.sort.bam 799031
2062215.sort.bam 803399
2062216.sort.bam 1069612
2062217.sort.bam 1339380
2062218.sort.bam 1014269
2062219.sort.bam 841792
2062220.sort.bam 1032341
2062221.sort.bam 811205
2062222.sort.bam 1275788
2062223.sort.bam 1378827
2062224.sort.bam 1404225
2062225.sort.bam 1259481
2062226.sort.bam 1227835
2062227.sort.bam 1109578
2062228.sort.bam 945751
2062229.sort.bam 977242
2062230.sort.bam 1090123
2062231.sort.bam 1564182
2062232.sort.bam 1230271
2062233.sort.bam 1419480
2062234.sort.bam 1171783
2062235.sort.bam 1273157
2062236.sort.bam 1142183
2062237.sort.bam 978994
2062238.sort.bam 1960859
2062239.sort.bam 1647848
2062240.sort.bam 853575
2062241.sort.bam 1288249
2062242.sort.bam 1119277
2062243.sort.bam 386740
2062340.sort.bam 1263834
2062341.sort.bam 1154776
2062342.sort.bam 970441
2062343.sort.bam 1018370
2062344.sort.bam 982221
2062345.sort.bam 885012
2062346.sort.bam 919274
2062347.sort.bam 903625
2062348.sort.bam 1215631
2070207.sort.bam 607729
2070208.sort.bam 531851
2070212.sort.bam 547078
2070213.sort.bam 525808
2986501.sort.bam 238054
2986502.sort.bam 216873
2986506.sort.bam 227141
2986507.sort.bam 151933
2986515.sort.bam 229561
2986516.sort.bam 150706
2986517.sort.bam 156792
2986518.sort.bam 145084
2986519.sort.bam 185732
2986520.sort.bam 221188
2986521.sort.bam 179746
2986522.sort.bam 237033
2986523.sort.bam 200415
2986524.sort.bam 207983
2986525.sort.bam 234798
2986526.sort.bam 234333
2986527.sort.bam 175819
2986529.sort.bam 224834
2986530.sort.bam 126659
2986531.sort.bam 151692
2986532.sort.bam 235634
2986533.sort.bam 193342
2986534.sort.bam 227772
2986535.sort.bam 150292
2986536.sort.bam 201123
2986537.sort.bam 234509
2986538.sort.bam 179651
2986539.sort.bam 161509
2986540.sort.bam 241077
2986541.sort.bam 195784
2986542.sort.bam 171138
2986544.sort.bam 201172
2986545.sort.bam 207902
2986546.sort.bam 141533
2986547.sort.bam 157383
2986548.sort.bam 190037
2986549.sort.bam 200818
2986550.sort.bam 184642
2986551.sort.bam 198246
2986552.sort.bam 215051
2986553.sort.bam 225144
2986554.sort.bam 224366
2986555.sort.bam 136325
2986556.sort.bam 217272
2986557.sort.bam 178000
2986558.sort.bam 187606
2990917.sort.bam 127349
2990928.sort.bam 185142
2990934.sort.bam 198900
2990935.sort.bam 207248
2990940.sort.bam 138766
2990941.sort.bam 176699
2990946.sort.bam 251408
2990947.sort.bam 161354
2990951.sort.bam 165125
2990956.sort.bam 98465
3005839.sort.bam 357964
3005841.sort.bam 368202
3005842.sort.bam 304533
3005843.sort.bam 283901
3005851.sort.bam 251327
3005852.sort.bam 361319
3005853.sort.bam 372599
3005854.sort.bam 314019
3005855.sort.bam 311465
3005863.sort.bam 386267
3005864.sort.bam 230154
3005865.sort.bam 292953
3005866.sort.bam 241979
3005867.sort.bam 323281
3005874.sort.bam 372395
3005875.sort.bam 300015
3005876.sort.bam 229295
3005877.sort.bam 254440
3005878.sort.bam 268919
3005879.sort.bam 254615
3005886.sort.bam 278460
3005887.sort.bam 325529
3005888.sort.bam 342913
3005889.sort.bam 361870
3005890.sort.bam 315514
3005891.sort.bam 310956
3005898.sort.bam 245017
3005899.sort.bam 345297
3005900.sort.bam 341170
3005901.sort.bam 289201
3005902.sort.bam 295593
3005903.sort.bam 268419
3005910.sort.bam 231110
3005911.sort.bam 360728
3005912.sort.bam 395024
3005913.sort.bam 255268
3005914.sort.bam 308404
3005915.sort.bam 267608
3005922.sort.bam 301080
3005923.sort.bam 275255
3005924.sort.bam 256768
3005925.sort.bam 240103
3005926.sort.bam 283730
3006912.sort.bam 212922
3006928.sort.bam 325751
3006934.sort.bam 247236
3006939.sort.bam 356375
3006940.sort.bam 239903
3006944.sort.bam 275523
3006945.sort.bam 193231
3006949.sort.bam 143980
3402121.sort.bam 750967
3402123.sort.bam 716133
3402125.sort.bam 595365
3402126.sort.bam 528644
3402129.sort.bam 619546
3402130.sort.bam 662342
3402133.sort.bam 457232
3402136.sort.bam 631307
3402144.sort.bam 756864
3402147.sort.bam 687768
3402148.sort.bam 626012
3402149.sort.bam 627150
3402150.sort.bam 506226
3402151.sort.bam 561970
3402154.sort.bam 703718
3402155.sort.bam 478359
3402159.sort.bam 622181
3402161.sort.bam 762344
3402162.sort.bam 591527
3402163.sort.bam 604983
3402164.sort.bam 718327
3402167.sort.bam 472065
3402174.sort.bam 507809
3402175.sort.bam 543151
3402182.sort.bam 456478
3402183.sort.bam 365103
3402184.sort.bam 668366
3419833.sort.bam 668636
3419835.sort.bam 580311
3419838.sort.bam 497055
3419840.sort.bam 458575
3419841.sort.bam 449247
3419842.sort.bam 552521
3419845.sort.bam 390235
