ID Mapped_Count
2062150.hap.bam 369397
2062151.hap.bam 400401
2062152.hap.bam 331228
2062154.hap.bam 340893
2062155.hap.bam 346794
2062156.hap.bam 322541
2062157.hap.bam 266027
2062158.hap.bam 506059
2062164.hap.bam 197432
2062165.hap.bam 293096
2062166.hap.bam 338085
2062167.hap.bam 445127
2062168.hap.bam 335010
2062169.hap.bam 309315
2062170.hap.bam 302939
2062171.hap.bam 356553
2062172.hap.bam 344260
2062173.hap.bam 309534
2062174.hap.bam 469026
2062175.hap.bam 467949
2062176.hap.bam 349118
2062177.hap.bam 431522
2062178.hap.bam 263501
2062179.hap.bam 287236
2062180.hap.bam 286576
2062181.hap.bam 289771
2062182.hap.bam 405697
2062183.hap.bam 355159
2062185.hap.bam 291837
2062186.hap.bam 241061
2062187.hap.bam 158981
2062188.hap.bam 362289
2062189.hap.bam 293003
2062191.hap.bam 355652
2062192.hap.bam 467063
2062196.hap.bam 307171
2062198.hap.bam 328103
2062199.hap.bam 373224
2062200.hap.bam 399213
2062202.hap.bam 346964
2062204.hap.bam 205825
2062205.hap.bam 306287
2062206.hap.bam 362790
2062207.hap.bam 379385
2062208.hap.bam 349053
2062209.hap.bam 313537
2062210.hap.bam 169619
2062211.hap.bam 345518
2062212.hap.bam 244367
2062213.hap.bam 214017
2062215.hap.bam 222123
2062216.hap.bam 372076
2062217.hap.bam 462267
2062218.hap.bam 265439
2062219.hap.bam 211086
2062220.hap.bam 273738
2062221.hap.bam 232396
2062222.hap.bam 411205
2062223.hap.bam 430888
2062224.hap.bam 472497
2062225.hap.bam 405221
2062226.hap.bam 438004
2062227.hap.bam 314269
2062228.hap.bam 227804
2062229.hap.bam 341470
2062230.hap.bam 319717
2062231.hap.bam 520824
2062232.hap.bam 465986
2062233.hap.bam 476853
2062234.hap.bam 396890
2062235.hap.bam 397202
2062236.hap.bam 334549
2062237.hap.bam 369111
2062238.hap.bam 580413
2062239.hap.bam 596785
2062240.hap.bam 240442
2062241.hap.bam 359761
2062242.hap.bam 465426
2062343.hap.bam 391409
2070207.hap.bam 239515
3005842.hap.bam 96190
3005924.hap.bam 109106
3006949.hap.bam 60817
3005899.hap.bam 124051
3005912.hap.bam 165025
3005852.hap.bam 126507
3006912.hap.bam 82156
3005888.hap.bam 131227
3005900.hap.bam 117635
3005911.hap.bam 120506
3005891.hap.bam 110299
3006944.hap.bam 102370
3005889.hap.bam 117087
3005901.hap.bam 97029
3005903.hap.bam 97250
3005877.hap.bam 88992
3005841.hap.bam 129511
3005853.hap.bam 115836
3005865.hap.bam 98792
3005874.hap.bam 94235
3006945.hap.bam 65503
2990934.hap.bam 53831
3005875.hap.bam 87507
3005887.hap.bam 108665
2990940.hap.bam 47582
3005851.hap.bam 77580
3005886.hap.bam 95396
3005839.hap.bam 115580
3006940.hap.bam 68510
3005863.hap.bam 113118
3006939.hap.bam 107023
3005890.hap.bam 145024
3005914.hap.bam 134873
3005902.hap.bam 122298
3005926.hap.bam 101239
3005843.hap.bam 120340
3005855.hap.bam 109463
3005867.hap.bam 110199
3005854.hap.bam 134397
3006928.hap.bam 143392
3006934.hap.bam 99834
