ID Mapped_Count
2062150.sort.bam 1200099
2062151.sort.bam 1269965
2062152.sort.bam 988501
2062153.sort.bam 1048187
2062154.sort.bam 1142864
2062155.sort.bam 995487
2062156.sort.bam 1003869
2062157.sort.bam 974030
2062158.sort.bam 1389668
2062159.sort.bam 1157428
2062161.sort.bam 1182300
2062162.sort.bam 1244868
2062164.sort.bam 925373
2062165.sort.bam 965829
2062166.sort.bam 1184229
2062167.sort.bam 1318402
2062168.sort.bam 1316549
2062169.sort.bam 1071335
2062170.sort.bam 983474
2062171.sort.bam 1095090
2062172.sort.bam 1016265
2062173.sort.bam 976846
2062174.sort.bam 1399409
2062175.sort.bam 1452377
2062176.sort.bam 1259132
2062177.sort.bam 1232150
2062178.sort.bam 988927
2062179.sort.bam 964051
2062180.sort.bam 955122
2062181.sort.bam 933336
2062182.sort.bam 1303703
2062183.sort.bam 1251062
2062184.sort.bam 921397
2062185.sort.bam 1043034
2062186.sort.bam 847387
2062187.sort.bam 563889
2062188.sort.bam 951536
2062189.sort.bam 834283
2062190.sort.bam 1002373
2062191.sort.bam 1167879
2062192.sort.bam 1143456
2062193.sort.bam 1012343
2062194.sort.bam 788155
2062195.sort.bam 712181
2062196.sort.bam 1016924
2062197.sort.bam 518365
2062198.sort.bam 1056963
2062199.sort.bam 1300081
2062200.sort.bam 1428459
2062201.sort.bam 813666
2062202.sort.bam 1079308
2062203.sort.bam 676401
2062204.sort.bam 538185
2062205.sort.bam 880798
2062206.sort.bam 1275425
2062207.sort.bam 1198988
2062208.sort.bam 1142963
2062209.sort.bam 1144873
2062210.sort.bam 759223
2062211.sort.bam 1190552
2062212.sort.bam 1046524
2062213.sort.bam 843582
2062215.sort.bam 845527
2062216.sort.bam 1117783
2062217.sort.bam 1398985
2062218.sort.bam 1066489
2062219.sort.bam 890355
2062220.sort.bam 1084735
2062221.sort.bam 853074
2062222.sort.bam 1333980
2062223.sort.bam 1454722
2062224.sort.bam 1468342
2062225.sort.bam 1321089
2062226.sort.bam 1281533
2062227.sort.bam 1169645
2062228.sort.bam 1001991
2062229.sort.bam 1024875
2062230.sort.bam 1144823
2062231.sort.bam 1635373
2062232.sort.bam 1288329
2062233.sort.bam 1482182
2062234.sort.bam 1225447
2062235.sort.bam 1332388
2062236.sort.bam 1200439
2062237.sort.bam 1022520
2062238.sort.bam 2058803
2062239.sort.bam 1724074
2062240.sort.bam 897018
2062241.sort.bam 1354585
2062242.sort.bam 1163284
2062243.sort.bam 408220
2062340.sort.bam 1323444
2062341.sort.bam 1209483
2062342.sort.bam 1015378
2062343.sort.bam 1058124
2062344.sort.bam 1029096
2062345.sort.bam 924341
2062346.sort.bam 962913
2062347.sort.bam 951827
2062348.sort.bam 1269575
2070207.sort.bam 629539
2070208.sort.bam 557561
2070212.sort.bam 570945
2070213.sort.bam 549608
2986501.sort.bam 248566
2986502.sort.bam 227298
2986506.sort.bam 237764
2986507.sort.bam 158157
2986515.sort.bam 243429
2986516.sort.bam 157905
2986517.sort.bam 165094
2986518.sort.bam 151220
2986519.sort.bam 197721
2986520.sort.bam 232531
2986521.sort.bam 190250
2986522.sort.bam 250164
2986523.sort.bam 211304
2986524.sort.bam 219360
2986525.sort.bam 245977
2986526.sort.bam 246230
2986527.sort.bam 183846
2986529.sort.bam 235004
2986530.sort.bam 131560
2986531.sort.bam 158081
2986532.sort.bam 246442
2986533.sort.bam 201981
2986534.sort.bam 237393
2986535.sort.bam 156894
2986536.sort.bam 210879
2986537.sort.bam 247947
2986538.sort.bam 189054
2986539.sort.bam 169698
2986540.sort.bam 253698
2986541.sort.bam 206650
2986542.sort.bam 179700
2986544.sort.bam 210956
2986545.sort.bam 216522
2986546.sort.bam 147167
2986547.sort.bam 163347
2986548.sort.bam 198214
2986549.sort.bam 210168
2986550.sort.bam 192729
2986551.sort.bam 208073
2986552.sort.bam 224075
2986553.sort.bam 236867
2986554.sort.bam 236728
2986555.sort.bam 141737
2986556.sort.bam 226954
2986557.sort.bam 186963
2986558.sort.bam 200172
2990917.sort.bam 132743
2990928.sort.bam 192013
2990934.sort.bam 209998
2990935.sort.bam 215093
2990940.sort.bam 144736
2990941.sort.bam 183823
2990946.sort.bam 265982
2990947.sort.bam 171309
2990951.sort.bam 172342
2990956.sort.bam 102653
3005839.sort.bam 371253
3005841.sort.bam 381509
3005842.sort.bam 316336
3005843.sort.bam 292692
3005851.sort.bam 261948
3005852.sort.bam 373368
3005853.sort.bam 388436
3005854.sort.bam 323991
3005855.sort.bam 323707
3005863.sort.bam 402240
3005864.sort.bam 237181
3005865.sort.bam 304278
3005866.sort.bam 249157
3005867.sort.bam 336870
3005874.sort.bam 389860
3005875.sort.bam 312156
3005876.sort.bam 236071
3005877.sort.bam 264171
3005878.sort.bam 276140
3005879.sort.bam 261699
3005886.sort.bam 288726
3005887.sort.bam 338674
3005888.sort.bam 354117
3005889.sort.bam 376121
3005890.sort.bam 324804
3005891.sort.bam 320616
3005898.sort.bam 255203
3005899.sort.bam 357226
3005900.sort.bam 352709
3005901.sort.bam 301149
3005902.sort.bam 305653
3005903.sort.bam 278199
3005910.sort.bam 238293
3005911.sort.bam 373237
3005912.sort.bam 405995
3005913.sort.bam 264836
3005914.sort.bam 318323
3005915.sort.bam 280614
3005922.sort.bam 315614
3005923.sort.bam 284177
3005924.sort.bam 264501
3005925.sort.bam 247257
3005926.sort.bam 294513
3006912.sort.bam 219255
3006928.sort.bam 335068
3006934.sort.bam 254331
3006939.sort.bam 372124
3006940.sort.bam 250922
3006944.sort.bam 284834
3006945.sort.bam 200260
3006949.sort.bam 148102
3402121.sort.bam 781791
3402123.sort.bam 742216
3402125.sort.bam 614418
3402126.sort.bam 546268
3402129.sort.bam 642952
3402130.sort.bam 686721
3402133.sort.bam 472899
3402136.sort.bam 655347
3402144.sort.bam 782310
3402147.sort.bam 713507
3402148.sort.bam 646287
3402149.sort.bam 653910
3402150.sort.bam 526560
3402151.sort.bam 580038
3402154.sort.bam 730928
3402155.sort.bam 497253
3402159.sort.bam 644371
3402161.sort.bam 787854
3402162.sort.bam 612581
3402163.sort.bam 628943
3402164.sort.bam 746937
3402167.sort.bam 491057
3402174.sort.bam 530976
3402175.sort.bam 564007
3402182.sort.bam 473087
3402183.sort.bam 383287
3402184.sort.bam 695030
3419833.sort.bam 697144
3419835.sort.bam 602188
3419838.sort.bam 511972
3419840.sort.bam 472297
3419841.sort.bam 466338
3419842.sort.bam 574533
3419845.sort.bam 403588
