ID Mapped_Count
2062150.nico.bam 463419
2062151.nico.bam 502634
2062152.nico.bam 413371
2062154.nico.bam 426743
2062155.nico.bam 433814
2062156.nico.bam 409632
2062157.nico.bam 341416
2062158.nico.bam 633990
2062164.nico.bam 261035
2062165.nico.bam 375121
2062166.nico.bam 433065
2062167.nico.bam 559034
2062168.nico.bam 432311
2062169.nico.bam 391660
2062170.nico.bam 386191
2062171.nico.bam 451678
2062172.nico.bam 430089
2062173.nico.bam 385387
2062174.nico.bam 580504
2062175.nico.bam 589750
2062176.nico.bam 443946
2062177.nico.bam 531340
2062178.nico.bam 335699
2062179.nico.bam 366910
2062180.nico.bam 361619
2062181.nico.bam 363364
2062182.nico.bam 506789
2062183.nico.bam 453146
2062185.nico.bam 375029
2062186.nico.bam 307610
2062187.nico.bam 199943
2062188.nico.bam 445948
2062189.nico.bam 362936
2062191.nico.bam 448528
2062192.nico.bam 582827
2062196.nico.bam 389102
2062198.nico.bam 418520
2062199.nico.bam 468980
2062200.nico.bam 510424
2062202.nico.bam 439374
2062204.nico.bam 255468
2062205.nico.bam 385794
2062206.nico.bam 459740
2062207.nico.bam 471853
2062208.nico.bam 433969
2062209.nico.bam 401378
2062210.nico.bam 231136
2062211.nico.bam 435950
2062212.nico.bam 316600
2062213.nico.bam 275383
2062215.nico.bam 284888
2062216.nico.bam 470574
2062217.nico.bam 572588
2062218.nico.bam 341438
2062219.nico.bam 273288
2062220.nico.bam 352008
2062221.nico.bam 295156
2062222.nico.bam 525340
2062223.nico.bam 550758
2062224.nico.bam 598154
2062225.nico.bam 507639
2062226.nico.bam 547758
2062227.nico.bam 401444
2062228.nico.bam 297106
2062229.nico.bam 424313
2062230.nico.bam 412734
2062231.nico.bam 661682
2062232.nico.bam 586961
2062233.nico.bam 598751
2062234.nico.bam 498409
2062235.nico.bam 509160
2062236.nico.bam 428170
2062237.nico.bam 457875
2062238.nico.bam 739088
2062239.nico.bam 744499
2062240.nico.bam 307917
2062241.nico.bam 459948
2062242.nico.bam 574629
2062343.nico.bam 487041
2070207.nico.bam 291173
3005842.nico.bam 120919
3005924.nico.bam 133991
3006949.nico.bam 74223
3005899.nico.bam 154866
3005912.nico.bam 203015
3005852.nico.bam 157510
3006912.nico.bam 104439
3005888.nico.bam 162322
3005900.nico.bam 146752
3005911.nico.bam 152034
3005891.nico.bam 139936
3006944.nico.bam 127700
3005889.nico.bam 148474
3005901.nico.bam 121620
3005903.nico.bam 122355
3005877.nico.bam 109896
3005841.nico.bam 162266
3005853.nico.bam 147497
3005865.nico.bam 125234
3005874.nico.bam 122072
3006945.nico.bam 82470
2990934.nico.bam 69815
3005875.nico.bam 112571
3005887.nico.bam 136068
2990940.nico.bam 59299
3005851.nico.bam 98919
3005886.nico.bam 119019
3005839.nico.bam 145869
3006940.nico.bam 87321
3005863.nico.bam 143909
3006939.nico.bam 137111
3005890.nico.bam 176168
3005914.nico.bam 163846
3005902.nico.bam 150311
3005926.nico.bam 126371
3005843.nico.bam 147879
3005855.nico.bam 136694
3005867.nico.bam 137974
3005854.nico.bam 167367
3006928.nico.bam 174389
3006934.nico.bam 124282
