"","Grupo","Group","Letter","MonoLetter"
"1","alt80","N.sylvestris","a","a    "
"2","alt80","P.axillaris.I","b"," b   "
"3","alt80","P.axillaris.II","bc"," bc  "
"4","alt80","P.inflata","d","   d "
"5","alt80","P.secreta","c","  c  "
"6","alt80","S..habrochaites","e","    e"
"7","grp41","N.sylvestris","a","a    "
"8","grp41","P.axillaris.I","b"," b   "
"9","grp41","P.axillaris.II","b"," b   "
"10","grp41","P.inflata","c","  c  "
"11","grp41","P.secreta","d","   d "
"12","grp41","S..habrochaites","e","    e"
"13","phylo","N.sylvestris","a","a   "
"14","phylo","P.axillaris.I","b"," b  "
"15","phylo","P.axillaris.II","b"," b  "
"16","phylo","P.inflata","c","  c "
"17","phylo","P.secreta","b"," b  "
"18","phylo","S..habrochaites","d","   d"
