Samples	Grupo	P.axillaris II	P.axillaris I	P.inflata	P.secreta	N.sylvestris	S. habrochaites
1_Palti320_R	alt80	0.87	0.87	0.91	0.88	0.35	0.28
2_Palti321_R	alt80	0.86	0.86	0.90	0.86	0.36	0.28
3_Palti323_R	alt80	0.86	0.86	0.90	0.86	0.38	0.30
4_Palti325_R	alt80	0.87	0.87	0.91	0.87	0.34	0.27
5_Palti330_S	alt80	0.81	0.81	0.85	0.82	0.37	0.30
6_Palti332_S	alt80	0.85	0.85	0.89	0.85	0.36	0.29
7_Palti336_S	alt80	0.84	0.84	0.89	0.84	0.31	0.24
8_Palti337_S	alt80	0.86	0.86	0.90	0.86	0.41	0.33
9_Palti22_A	alt80	0.81	0.81	0.85	0.81	0.24	0.18
10_Palti23_A	alt80	0.83	0.83	0.86	0.83	0.34	0.26
11_Palti24_A	alt80	0.76	0.76	0.80	0.76	0.29	0.23
12_Palti25_A	alt80	0.86	0.86	0.89	0.86	0.38	0.30
13_Palti26_B	alt80	0.83	0.83	0.88	0.83	0.29	0.22
14_Palti27_B	alt80	0.85	0.85	0.89	0.85	0.32	0.26
15_Palti28_B	alt80	0.87	0.86	0.90	0.87	0.35	0.28
16_Palti53_B	alt80	0.86	0.86	0.90	0.86	0.37	0.29
17_Palti71_B	alt80	0.88	0.88	0.92	0.88	0.39	0.31
18_Palti88_C	alt80	0.86	0.85	0.89	0.86	0.35	0.28
19_Palti90_C	alt80	0.88	0.88	0.92	0.88	0.38	0.31
20_Palti94_C	alt80	0.88	0.88	0.92	0.89	0.38	0.30
21_Palti100_C	alt80	0.87	0.87	0.92	0.87	0.32	0.25
22_Palti102_C	alt80	0.88	0.88	0.92	0.89	0.40	0.32
23_Palti36_D	alt80	0.84	0.84	0.88	0.84	0.30	0.23
24_Palti132_D	alt80	0.85	0.85	0.89	0.85	0.34	0.26
25_Palti136_D	alt80	0.84	0.84	0.88	0.84	0.33	0.26
26_Palti139_D	alt80	0.81	0.81	0.85	0.81	0.33	0.26
27_Palti146_D	alt80	0.86	0.86	0.90	0.86	0.35	0.28
28_Palti277_E	alt80	0.79	0.79	0.83	0.79	0.30	0.23
29_Palti292_E	alt80	0.81	0.81	0.85	0.81	0.30	0.24
30_Palti293_E	alt80	0.75	0.75	0.78	0.75	0.28	0.22
31_Palti296_E	alt80	0.46	0.46	0.49	0.46	0.17	0.14
32_Palti148_F	alt80	0.86	0.86	0.89	0.86	0.42	0.34
33_Palti150_F	alt80	0.82	0.81	0.85	0.82	0.37	0.30
34_Palti154_F	alt80	0.78	0.78	0.81	0.78	0.31	0.25
35_Palti149_F	alt80	0.84	0.84	0.87	0.84	0.45	0.36
36_Palti238_G	alt80	0.85	0.85	0.89	0.85	0.34	0.27
37_Palti297_H	alt80	0.82	0.82	0.86	0.82	0.34	0.27
38_Palti305_H	alt80	0.85	0.85	0.89	0.85	0.32	0.26
39_Palti302_H	alt80	0.86	0.86	0.90	0.86	0.32	0.25
40_Palti306_H	alt80	0.88	0.88	0.92	0.88	0.37	0.29
41_Palti211_I	alt80	0.75	0.75	0.78	0.75	0.37	0.30
42_Palti214_I	alt80	0.84	0.84	0.87	0.84	0.38	0.30
43_Palti190_I	alt80	0.84	0.83	0.87	0.84	0.32	0.25
44_Palti193_I	alt80	0.68	0.68	0.71	0.68	0.28	0.23
45_Palti7_J	alt80	0.75	0.76	0.78	0.77	0.30	0.24
46_Palti8_J	alt80	0.82	0.81	0.85	0.82	0.30	0.23
47_Palti9_J	alt80	0.67	0.67	0.72	0.67	0.22	0.16
