Group,M_Pair,Variant_Sites,Variant_Sites_Diff,Percent_Change
ALT,1→2,48576,14691.0,43.36
ALT,2→3,54889,6313.0,13.0
ALT,3→4,58176,3287.0,5.99
ALT,4→5,59661,1485.0,2.55
ALT,5→6,60462,801.0,1.34
ALT,6→7,60824,362.0,0.6
ALT,7→8,60929,105.0,0.17
ALT,8→9,61068,139.0,0.23
GRP,1→2,3540,1195.0,50.96
GRP,2→3,4102,562.0,15.88
GRP,3→4,4406,304.0,7.41
GRP,4→5,4581,175.0,3.97
GRP,5→6,4748,167.0,3.65
GRP,6→7,4839,91.0,1.92
GRP,7→8,4919,80.0,1.65
GRP,8→9,4958,39.0,0.79
phylo,1→2,35198,9765.0,38.39
phylo,2→3,38372,3174.0,9.02
phylo,3→4,39166,794.0,2.07
phylo,4→5,39472,306.0,0.78
phylo,5→6,39624,152.0,0.39
phylo,6→7,39686,62.0,0.16
phylo,7→8,39600,-86.0,-0.22
phylo,8→9,39600,0.0,0.0
