pop,private,obs_het,fis,pi,grp,genome,miss_lvl
caes,634,0.07892,0.09799,0.11687,phylo,inf,9
duse,470,0.07946,0.12358,0.1363,phylo,inf,9
miss,600,0.07494,0.12722,0.13242,phylo,inf,9
para,635,0.08547,0.15494,0.14409,phylo,inf,9
send,391,0.08831,0.0978,0.13409,phylo,inf,9
Preit,25,0.15978,0.10378,0.19209,grp,hab,9
Psaxi,7,0.1492,0.07351,0.17963,grp,hab,9
Psche,65,0.16181,0.14694,0.22518,grp,hab,9
Pteri,71,0.13333,0.27103,0.24536,grp,hab,9
north,275,0.236,0.15905,0.27154,alt,sec,9
west,260,0.19111,0.13616,0.23845,alt,sec,9
south,306,0.21109,0.22566,0.26401,alt,sec,9
Preit,240,0.09277,0.15334,0.14372,grp,sec,9
Psaxi,86,0.08502,0.08008,0.11916,grp,sec,9
Psche,635,0.07969,0.22757,0.17543,grp,sec,9
Pteri,671,0.06711,0.29885,0.19002,grp,sec,9
caes,721,0.08314,0.0959,0.12047,phylo,aaxi,9
duse,502,0.0813,0.12062,0.13669,phylo,aaxi,9
miss,655,0.07669,0.12696,0.13426,phylo,aaxi,9
para,673,0.08899,0.15086,0.14625,phylo,aaxi,9
send,378,0.08734,0.09262,0.13045,phylo,aaxi,9
north,18,0.28387,0.08638,0.29373,alt,hab,9
west,12,0.24639,0.06604,0.26362,alt,hab,9
south,31,0.25304,0.1544,0.28425,alt,hab,9
Preit,265,0.09236,0.15405,0.14416,grp,inf,9
Psaxi,98,0.08368,0.07094,0.11376,grp,inf,9
Psche,684,0.07227,0.23461,0.17242,grp,inf,9
Pteri,758,0.0606,0.3004,0.18357,grp,inf,9
north,24,0.27089,0.09714,0.28582,alt,nico,9
west,22,0.23941,0.08751,0.26523,alt,nico,9
south,31,0.24032,0.17245,0.27637,alt,nico,9
north,306,0.23422,0.15905,0.27024,alt,aaxi,9
west,300,0.19122,0.13322,0.23782,alt,aaxi,9
south,361,0.20871,0.22556,0.26092,alt,aaxi,9
Preit,272,0.09418,0.15646,0.14578,grp,axi,9
Psaxi,93,0.08932,0.07396,0.12106,grp,axi,9
Psche,685,0.078,0.23003,0.17513,grp,axi,9
Pteri,719,0.06464,0.29249,0.1835,grp,axi,9
caes,697,0.08027,0.0976,0.11818,phylo,axi,9
duse,497,0.08171,0.1244,0.13924,phylo,axi,9
miss,652,0.07695,0.12939,0.13473,phylo,axi,9
para,665,0.08914,0.15188,0.14697,phylo,axi,9
send,390,0.08837,0.09665,0.13301,phylo,axi,9
Preit,30,0.15329,0.12511,0.19102,grp,nico,9
Psaxi,10,0.13703,0.07218,0.16898,grp,nico,9
Psche,93,0.13895,0.19368,0.22035,grp,nico,9
Pteri,99,0.10874,0.2803,0.22281,grp,nico,9
north,307,0.23515,0.15954,0.27144,alt,axi,9
west,296,0.19137,0.13334,0.23826,alt,axi,9
south,348,0.21002,0.22446,0.26215,alt,axi,9
caes,135,0.12077,0.06485,0.14344,phylo,hab,9
duse,105,0.10725,0.12359,0.16338,phylo,hab,9
miss,124,0.09796,0.12171,0.15288,phylo,hab,9
para,138,0.13296,0.11313,0.17338,phylo,hab,9
send,76,0.1263,0.05956,0.15311,phylo,hab,9
caes,165,0.11053,0.06908,0.1341,phylo,nico,9
duse,132,0.10298,0.1201,0.15824,phylo,nico,9
miss,187,0.09795,0.12504,0.15402,phylo,nico,9
para,186,0.12582,0.12427,0.16905,phylo,nico,9
send,93,0.11369,0.07612,0.14818,phylo,nico,9
north,308,0.23533,0.15923,0.27134,alt,inf,9
west,347,0.19251,0.1343,0.23959,alt,inf,9
south,389,0.21029,0.22224,0.2616,alt,inf,9
Preit,257,0.09445,0.15461,0.14617,grp,aaxi,9
Psaxi,97,0.08746,0.07684,0.12089,grp,aaxi,9
Psche,696,0.08051,0.23553,0.17903,grp,aaxi,9
Pteri,697,0.06444,0.29875,0.18667,grp,aaxi,9
caes,639,0.0827,0.0982,0.12129,phylo,sec,9
duse,447,0.08157,0.12197,0.13707,phylo,sec,9
miss,607,0.07884,0.1265,0.1364,phylo,sec,9
para,596,0.08944,0.14842,0.14535,phylo,sec,9
send,340,0.09019,0.09659,0.13494,phylo,sec,9
Preit,2,0.06879,0.01784,0.0701,grp,denovo,9
Psaxi,3,0.05238,0.16493,0.1083,grp,denovo,9
Psche,10,0.05532,0.25698,0.17274,grp,denovo,9
Pteri,8,0.04068,0.32764,0.1853,grp,denovo,9
north,87,0.20232,0.15434,0.24721,alt,denovo,9
south,133,0.19075,0.17982,0.23627,alt,denovo,9
west,128,0.1737,0.13826,0.22616,alt,denovo,9
caes,518,0.09421,0.06651,0.11667,phylo,denovo,9
duse,369,0.09166,0.08908,0.1302,phylo,denovo,9
miss,534,0.10207,0.07637,0.13537,phylo,denovo,9
para,468,0.08914,0.13505,0.13728,phylo,denovo,9
send,263,0.09776,0.0623,0.12574,phylo,denovo,9
