# Pop ID;K;Private;Obs_Het;Fis;Pi
P.reitzii;50K;83.4113 , 99.3887;0.027 , 0.0293;0.0966 , 0.1038;0.0674 , 0.0701
P.saxicola;50K;73.4494 , 84.9506;0.0273 , 0.0301;0.0652 , 0.0715;0.0606 , 0.0629
P.scheideana;50K;173.9183 , 188.0817;0.0231 , 0.024;0.1203 , 0.124;0.0757 , 0.0772
P.interior;50K;179.6462 , 196.5538;0.0205 , 0.0225;0.1399 , 0.1472;0.0849 , 0.0884
north;50K;33.1011 , 45.0989;0.017 , 0.019;0.1673 , 0.1772;0.0755 , 0.0786
west;50K;22.1988 , 25.6012;0.0184 , 0.0207;0.0996 , 0.1125;0.0653 , 0.0711
south;50K;60.149 , 65.451;0.0176 , 0.0191;0.1724 , 0.179;0.0749 , 0.0776
P.reitzii;100K;606.5196 , 639.6804;0.0314 , 0.032;0.1121 , 0.1135;0.0778 , 0.0783
P.saxicola;100K;472.1708 , 489.4292;0.0328 , 0.0337;0.0704 , 0.0721;0.0677 , 0.0688
P.scheideana;100K;1223.0716 , 1240.9284;0.0269 , 0.0274;0.1393 , 0.1413;0.0879 , 0.0889
P.interior;100K;1404.9368 , 1422.6632;0.0241 , 0.0245;0.1607 , 0.1629;0.0975 , 0.0985
north;100K;289.9806 , 316.6194;0.0278 , 0.0288;0.1805 , 0.1841;0.0886 , 0.0901
west;100K;148.3394 , 158.4606;0.0274 , 0.0287;0.1125 , 0.1159;0.0765 , 0.0786
south;100K;467.3125 , 485.4875;0.0265 , 0.0274;0.1871 , 0.1893;0.0854 , 0.0869
P.reitzii;200K;1306.7516 , 1321.8484;0.0311 , 0.0313;0.1114 , 0.1122;0.0786 , 0.0791
P.saxicola;200K;703.234 , 717.366;0.0323 , 0.0325;0.0634 , 0.0639;0.0643 , 0.0646
P.scheideana;200K;2220.111 , 2234.689;0.0255 , 0.0256;0.1395 , 0.1403;0.0878 , 0.0882
P.interior;200K;2304.4597 , 2324.7403;0.0215 , 0.0216;0.1544 , 0.155;0.0935 , 0.0939
north;200K;1034.2015 , 1057.5985;0.0481 , 0.0486;0.1823 , 0.1841;0.1085 , 0.1094
west;200K;556.1179 , 582.4821;0.0447 , 0.0453;0.1192 , 0.1206;0.0947 , 0.0953
south;200K;1774.126 , 1825.874;0.0454 , 0.0458;0.197 , 0.1989;0.1059 , 0.1066
P.reitzii;500K;1437.9615 , 1447.2385;0.0236 , 0.0238;0.096 , 0.0964;0.0657 , 0.0661
P.saxicola;500K;743.1281 , 751.4719;0.0246 , 0.0247;0.0534 , 0.0538;0.0521 , 0.0523
P.scheideana;500K;2317.7699 , 2340.2301;0.019 , 0.0191;0.1149 , 0.1154;0.0715 , 0.0717
P.interior;500K;2486.1892 , 2497.2108;0.0172 , 0.0173;0.1315 , 0.1319;0.0796 , 0.0798
north;500K;4239.5277 , 4301.2723;0.0638 , 0.064;0.1801 , 0.1809;0.1229 , 0.1232
west;500K;2809.0674 , 2845.1326;0.0578 , 0.0581;0.1204 , 0.1213;0.107 , 0.1073
south;500K;7385.8851 , 7440.7149;0.0584 , 0.0586;0.2112 , 0.212;0.1208 , 0.1211
