genome,sig_group,group,statistic
axi,a,alt,obs_het
aaxi,a,alt,obs_het
inf,a,alt,obs_het
sec,a,alt,obs_het
hab,a,alt,obs_het
nico,a,alt,obs_het
denovo,a,alt,obs_het
axi,a,alt,pi
aaxi,a,alt,pi
inf,a,alt,pi
sec,a,alt,pi
hab,a,alt,pi
nico,a,alt,pi
denovo,a,alt,pi
axi,a,alt,private
aaxi,a,alt,private
inf,a,alt,private
sec,a,alt,private
hab,a,alt,private
nico,a,alt,private
denovo,a,alt,private
axi,d,grp,obs_het
aaxi,e,grp,obs_het
inf,c,grp,obs_het
sec,b,grp,obs_het
hab,a,grp,obs_het
nico,a,grp,obs_het
denovo,f,grp,obs_het
axi,a,grp,pi
aaxi,a,grp,pi
inf,a,grp,pi
sec,a,grp,pi
hab,a,grp,pi
nico,a,grp,pi
denovo,a,grp,pi
axi,d,grp,private
aaxi,e,grp,private
inf,c,grp,private
sec,b,grp,private
hab,a,grp,private
nico,a,grp,private
denovo,f,grp,private
axi,a,phylo,obs_het
aaxi,a,phylo,obs_het
inf,a,phylo,obs_het
sec,a,phylo,obs_het
hab,b,phylo,obs_het
nico,c,phylo,obs_het
denovo,d,phylo,obs_het
axi,a,phylo,pi
aaxi,a,phylo,pi
inf,a,phylo,pi
sec,a,phylo,pi
hab,b,phylo,pi
nico,c,phylo,pi
denovo,a,phylo,pi
axi,a,phylo,private
aaxi,a,phylo,private
inf,a,phylo,private
sec,a,phylo,private
hab,b,phylo,private
nico,c,phylo,private
denovo,a,phylo,private
