PC1	PC2
2062343	1.71830238143087	-4.26408189506003
2062150	2.46798410082447	-3.92729801499847
2062151	2.55744505729401	-4.5499197027594
2062152	2.59344295354417	-3.38649590009452
2062154	2.06661387016849	-4.13423387567504
2062164	2.31153617710935	-4.0097529640925
2062165	2.21907476619949	-6.17607997593908
2062166	2.58040128694133	-5.54925541512808
2062167	1.75529393199127	-5.86568639762421
2062168	0.980931605165586	-3.31131269249506
2062169	2.33333927438533	-3.53688002549109
2062170	1.34025852768964	-2.51661587721643
2062171	-2.63442103254619	-3.3968998754984
2062172	-0.0539720169489307	-4.48442585462937
2062173	2.43972104276396	-8.99617865278699
2062174	2.07317701913605	-8.91714877305043
2062175	2.62197118033176	-10.2159693855256
2062176	1.94676752660973	-8.87279364978238
2062177	2.61966091787978	-8.34546946326815
2062178	1.46030187810779	-5.92535776583574
2062179	1.64049795360774	-2.68871078274972
2062180	2.01624715698269	-2.98448415763107
2062181	2.14751442355895	-4.11491503332138
2062182	2.51425504450348	-4.62445156304751
2062183	1.44057427610348	-1.17664356185141
2062185	0.890597049485123	-1.52527044099199
2062186	-0.569682897140975	-1.74442902185038
2062187	-0.0184513776805636	-1.12902472655597
2062188	2.45929164517753	0.314806034160204
2062189	1.6341224257739	-0.0432347530008157
2062191	1.11405013829652	0.275637484532606
2062192	1.09690157642135	0.303205602401879
2062196	1.2988265554238	0.209136002219925
2062198	0.446153451966564	2.66766350307691
2062199	0.445213482431658	1.9242277945957
2062200	0.882351196673451	2.57072831923226
2062202	-0.265436280461537	2.31189751786143
2062204	1.63457498582865	2.11813560507158
2062205	3.09585501984749	3.91854642978626
2062206	2.95922359427931	4.18524129648568
2062207	3.25737091189304	3.23960609577997
2062208	2.49619001408259	4.97545501862358
2062209	2.53736913193306	4.95634576226334
2062210	1.73749002689314	3.0303595389643
2062211	2.96588824219526	3.86432922573229
2062212	2.92538473092054	3.95976209512994
2062213	3.07109381097262	4.06634660798061
2062215	1.58077143238693	2.19740127086633
2062216	0.52021202761663	1.85440947642251
2062217	2.09422071419269	3.43622941168254
2062218	3.8414342770076	5.64965260245699
2062219	3.2333400342906	4.18399630683767
2062220	2.72064347333602	4.06228639698561
2062221	3.74639137977658	5.63808172162824
2062222	2.82898527106175	3.81156375542362
2062223	2.75970202391668	2.50744909100664
2062224	2.9004303592303	3.53740287056818
2062225	2.53932749504986	3.47615331194888
2062226	2.66814565817144	3.64235935429368
2062230	1.69094395660699	2.76066212069761
2062231	2.65807654610951	4.40528293975373
2062232	1.77285722466629	3.13928623476982
2062233	2.26686926633008	4.17560648304361
2062234	1.91846208510523	2.77582044295189
2062235	2.99609544293443	2.24151399590478
2062236	3.19149114293654	2.85380220952555
2062237	2.72855633048324	2.78979512067933
2062238	1.992012297977	2.58875605235562
2062239	3.10203501090588	1.62341632527305
2070207	1.22177634491733	1.24654059404251
2062240	-5.86083779015661	1.68658357485313
2062241	-5.85291166626319	1.5767983565199
2062242	-5.62616519736553	1.99456606997927
2062155	-18.1110625707722	0.574545623487836
2062156	-17.573971849433	0.401284304339931
2062157	-17.4081342004663	0.347686660234091
2062158	-18.0694236478943	0.256453244308752
2062227	-16.5085294536235	0.133044048948653
2062228	-16.7719455970686	-0.0766241672534125
2062229	-16.4410945600135	0.0297844595159931
