# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
3	north	south	un	21	20	0.271372977	0.64800	0.31428	1.33607	0.18842	0.01119	-1.00000	-1.00000
13	north	south	un	297	47	0.356554241	1.61538	0.61189	4.26461	0.20828	0.00698	-1.00000	-1.00000
19	north	south	un	449	12	0.005510151	8.70149	1.08858	69.55470	0.93959	0.05798	-1.00000	-1.00000
20	north	south	un	500	2	0.040990980	5.42254	0.64782	45.38876	0.73420	0.03438	-1.00000	-1.00000
21	north	south	un	561	1	0.632346414	1.30277	0.48328	3.51187	0.11487	0.00205	-1.00000	-1.00000
25	north	south	un	721	37	0.005996200	8.37313	1.04679	66.97577	0.92289	0.05672	-1.00000	-1.00000
31	north	south	un	841	33	0.360547949	0.61443	0.25490	1.48105	0.21153	0.00915	-1.00000	-1.00000
41	north	south	un	1059	5	0.038356475	2.31818	1.05007	5.11770	0.36515	0.03516	-1.00000	-1.00000
45	north	south	un	1138	23	0.587167184	0.77128	0.37967	1.56681	0.11279	0.00397	-1.00000	-1.00000
47	north	south	un	1286	49	0.000000001	0.01989	0.00257	0.15403	1.70133	0.27273	-1.00000	-1.00000
53	north	south	un	1306	8	0.053453263	0.41369	0.17910	0.95557	0.38332	0.03543	-1.00000	-1.00000
60	north	south	un	1502	18	0.000000250	0.02667	0.00342	0.20767	1.57403	0.19948	-1.00000	-1.00000
75	north	south	un	1904	45	0.143549649	5.02817	0.59994	42.14204	0.70141	0.02066	-1.00000	-1.00000
79	north	south	un	1922	1	0.859048383	0.90476	0.44991	1.81945	0.04347	0.00060	-1.00000	-1.00000
82	north	south	un	2003	19	0.107821854	0.33205	0.09189	1.19988	0.47880	0.02385	-1.00000	-1.00000
87	north	south	un	2103	57	0.020537155	7.17391	0.88185	58.35998	0.85576	0.04659	-1.00000	-1.00000
88	north	south	un	2142	34	0.003991344	11.96774	1.52281	94.05460	1.07801	0.06532	-1.00000	-1.00000
91	north	south	un	2235	4	0.713999878	1.16327	0.55971	2.41767	0.06568	0.00124	-1.00000	-1.00000
102	north	south	un	2325	32	0.005364132	8.63636	1.07250	69.54498	0.93633	0.05629	-1.00000	-1.00000
114	north	south	un	2368	12	0.740472481	0.69014	0.18960	2.51204	0.16106	0.00246	-1.00000	-1.00000
117	north	south	un	2429	11	0.029345762	0.36397	0.15556	0.85159	0.43893	0.04480	-1.00000	-1.00000
128	north	south	un	2778	49	0.079324737	2.82258	0.87428	9.11258	0.45065	0.02469	-1.00000	-1.00000
140	north	south	un	2973	57	0.004389457	0.27778	0.11570	0.66690	0.55630	0.06746	-1.00000	-1.00000
141	north	south	un	2989	11	0.262567207	0.36623	0.08365	1.60346	0.43624	0.01443	-1.00000	-1.00000
