# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
6	para	send	un	203	13	0.560439560	1.66667	0.13498	20.57855	0.22185	0.06667	-1.00000	-1.00000
7	para	send	un	274	17	1.000000000	0.54545	0.04319	6.88922	0.26324	0.03968	-1.00000	-1.00000
9	para	send	un	385	1	0.001508296	25.66667	2.20690	298.50793	1.40937	0.62500	-1.00000	-1.00000
10	para	send	un	464	17	0.571428571	2.75000	0.21101	35.83977	0.43933	0.02865	-1.00000	-1.00000
12	para	send	un	630	56	1.000000000	1.28571	0.19607	8.43111	0.10914	0.00313	-1.00000	-1.00000
20	para	send	un	1035	20	0.003691355	27.00000	2.34266	311.18463	1.43136	0.42250	-1.00000	-1.00000
22	para	send	un	1123	45	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
23	para	send	un	1149	7	0.000005413	121.00000	6.69043	2188.34839	2.08279	1.00000	-1.00000	-1.00000
32	para	send	un	1545	31	0.128787879	10.00000	0.64765	154.40456	1.00000	0.25714	-1.00000	-1.00000
41	para	send	un	1916	21	0.194805195	4.33333	0.38628	48.61218	0.63682	0.12000	-1.00000	-1.00000
48	para	send	un	2161	13	0.167468445	5.00000	0.71989	34.72771	0.69897	0.14063	-1.00000	-1.00000
49	para	send	un	2249	37	1.000000000	1.00000	0.06255	15.98832	0.00000	0.00000	-1.00000	-1.00000
60	para	send	un	2535	4	0.000357228	33.00000	2.90922	374.32764	1.51851	0.66667	-1.00000	-1.00000
62	para	send	un	2636	43	0.001688714	19.80000	1.94431	201.63474	1.29667	0.47619	-1.00000	-1.00000
65	para	send	un	2720	3	0.000357228	33.00000	2.90922	374.32764	1.51851	0.66667	-1.00000	-1.00000
69	para	send	un	3021	56	0.299450549	4.00000	0.43116	37.10917	0.60206	0.09818	-1.00000	-1.00000
70	para	send	un	3030	4	0.065934066	11.00000	0.81828	147.87062	1.04139	0.41667	-1.00000	-1.00000
72	para	send	un	3181	30	0.001051236	27.00000	2.34266	311.18463	1.43136	0.64000	-1.00000	-1.00000
81	para	send	un	3481	16	1.000000000	1.00000	0.14767	6.77178	0.00000	0.00000	-1.00000	-1.00000
83	para	send	un	3617	27	0.444444444	2.75000	0.21101	35.83977	0.43933	0.07353	-1.00000	-1.00000
85	para	send	un	3721	5	0.000124875	77.00000	4.11414	1441.12622	1.88649	1.00000	-1.00000	-1.00000
100	para	send	un	4178	21	0.605263158	0.44444	0.03359	5.88023	0.35218	0.01961	-1.00000	-1.00000
101	para	send	un	4260	41	0.014447884	13.00000	1.20080	140.73973	1.11394	0.37500	-1.00000	-1.00000
111	para	send	un	4734	11	0.529411765	0.52381	0.04504	6.09200	0.28083	0.06250	-1.00000	-1.00000
112	para	send	un	4799	13	0.135338346	7.33333	0.66092	81.36819	0.86530	0.14157	-1.00000	-1.00000
113	para	send	un	4910	59	0.135338346	7.33333	0.66092	81.36819	0.86530	0.14157	-1.00000	-1.00000
117	para	send	un	5063	25	0.000124875	77.00000	4.11414	1441.12622	1.88649	1.00000	-1.00000	-1.00000
118	para	send	un	5114	9	0.001373626	33.00000	2.45485	443.61185	1.51851	0.75758	-1.00000	-1.00000
120	para	send	un	5173	6	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
121	para	send	un	5252	19	0.028708134	9.28571	0.89857	95.95755	0.96782	0.26667	-1.00000	-1.00000
125	para	send	un	5425	2	0.632867133	2.00000	0.24446	16.36284	0.30103	0.02646	-1.00000	-1.00000
127	para	send	un	5498	14	1.000000000	0.71429	0.03556	14.34758	0.14613	0.00347	-1.00000	-1.00000
129	para	send	un	5560	13	1.000000000	0.71429	0.05372	9.49787	0.14613	0.00327	-1.00000	-1.00000
130	para	send	un	5656	45	0.480519481	0.33333	0.02986	3.72096	0.47712	0.08333	-1.00000	-1.00000
131	para	send	un	5687	13	0.454545455	2.60000	0.20544	32.90532	0.41497	0.05714	-1.00000	-1.00000
132	para	send	un	5742	5	0.000357228	33.00000	2.90922	374.32764	1.51851	0.66667	-1.00000	-1.00000
135	para	send	un	5871	8	0.000703631	26.00000	2.45071	275.83798	1.41497	0.56000	-1.00000	-1.00000
136	para	send	un	5937	12	0.000103612	40.33333	3.61317	450.23581	1.60566	0.69444	-1.00000	-1.00000
137	para	send	un	6002	11	0.145104895	7.50000	0.62052	90.65018	0.87506	0.17884	-1.00000	-1.00000
144	para	send	un	6311	1	1.000000000	0.60000	0.04123	8.73243	0.22185	0.07407	-1.00000	-1.00000
154	para	send	un	6751	3	0.000462386	27.50000	2.61547	289.14502	1.43933	0.57692	-1.00000	-1.00000
155	para	send	un	6821	11	0.147368421	5.57143	0.48434	64.08956	0.74597	0.16667	-1.00000	-1.00000
157	para	send	un	6927	56	0.096377307	0.16364	0.01607	1.66640	0.78612	0.18519	-1.00000	-1.00000
161	para	send	un	7088	31	0.674922601	1.55556	0.24410	9.91312	0.19189	0.01099	-1.00000	-1.00000
165	para	send	un	7286	40	1.000000000	0.77778	0.05569	10.86177	0.10914	0.06250	-1.00000	-1.00000
172	para	send	un	7570	9	0.123626374	0.20000	0.01834	2.18061	0.69897	0.20000	-1.00000	-1.00000
173	para	send	un	7668	45	0.005417957	15.40000	1.47324	160.97853	1.18752	0.42857	-1.00000	-1.00000
180	para	send	un	8008	7	0.077922078	6.50000	0.61268	68.95950	0.81291	0.18947	-1.00000	-1.00000
181	para	send	un	8094	30	0.098039216	7.80000	0.64854	93.81108	0.89209	0.25000	-1.00000	-1.00000
187	para	send	un	8379	2	0.444444444	2.75000	0.21101	35.83977	0.43933	0.07353	-1.00000	-1.00000
189	para	send	un	8466	26	0.019369691	15.00000	1.65226	136.17726	1.17609	0.34028	-1.00000	-1.00000
190	para	send	un	8534	31	0.077922078	6.50000	0.61268	68.95950	0.81291	0.18947	-1.00000	-1.00000
200	para	send	un	8945	3	0.077922078	6.50000	0.61268	68.95950	0.81291	0.18947	-1.00000	-1.00000
202	para	send	un	9092	23	0.183006536	0.21212	0.01824	2.46701	0.67342	0.15625	-1.00000	-1.00000
204	para	send	un	9198	4	1.000000000	1.50000	0.19504	11.53629	0.17609	0.00952	-1.00000	-1.00000
208	para	send	un	9433	47	0.001688714	19.80000	1.94431	201.63474	1.29667	0.47619	-1.00000	-1.00000
