# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	Column	Fisher's P	Odds Ratio	CI Low	CI High	LOD	AMOVA Fst	Smoothed AMOVA Fst	Smoothed AMOVA Fst P-value
781	Preit	Psche	un	839	23	0.001225488	15.00000	1.72484	130.44717	1.17609	0.22967	-1.00000	-1.00000
998	Preit	Psche	un	936	19	0.004700643	0.09000	0.01032	0.78462	1.04576	0.17073	-1.00000	-1.00000
1982	Preit	Psche	un	1263	40	0.054609929	5.95238	0.64385	55.02943	0.77469	0.09091	-1.00000	-1.00000
3477	Preit	Psche	un	1991	50	0.001225488	15.00000	1.72484	130.44717	1.17609	0.22967	-1.00000	-1.00000
3637	Preit	Psche	un	2110	68	0.000000000	625.00000	37.00302	10556.57129	2.79588	1.00000	-1.00000	-1.00000
4055	Preit	Psche	un	2467	19	0.160485006	5.75000	0.58675	56.34823	0.75967	0.06171	-1.00000	-1.00000
4384	Preit	Psche	un	2749	96	0.000001196	40.00000	4.66259	343.15671	1.60206	0.45455	-1.00000	-1.00000
5438	Preit	Psche	un	3222	54	0.000000000	575.00000	33.96244	9735.01758	2.75967	1.00000	-1.00000	-1.00000
7213	Preit	Psche	un	3855	73	0.000001333	41.66667	4.79121	362.35330	1.61979	0.47727	-1.00000	-1.00000
7389	Preit	Psche	un	4146	56	0.054609929	5.95238	0.64385	55.02943	0.77469	0.09091	-1.00000	-1.00000
7786	Preit	Psche	un	4353	57	0.000000000	529.00000	31.17178	8977.38281	2.72346	1.00000	-1.00000	-1.00000
